Date,HomeTeam,AwayTeam,HomeGameScore,AwayGameScore,HomePointsScoredLast300Seconds,AwayPointsScoredLast300Seconds,HomePointsScoredLast120Seconds,AwayPointsScoredLast120Seconds,HomePointDifferential,HomeFGDifferential,HomeDRebDifferential,HomeORebDifferential,Home3FGDifferential,HomeBlocksDifferential,HomeStealsDifferential,HomeAssistsDifferential,HomeReboundsDifferential,HomeFreeThrowDifferential,HomeTurnoversDifferential,HomeFoulsDifferential,SecLeft,LambdaWID,PointsScoredRemaining_Home,PointsScoredRemaining_Away
2020-03-04,16,11,117,89,13,8,2,4,28,0.05255528999999998,13,1,0.06232557999999999,2,-4,5,14,15,-2,-5,155,10,2,11
2020-01-04,3,1,101,108,9,10,5,7,-7,-0.09581877000000005,-2,-2,-0.03395587,0,4,0,-4,14,-3,-2,58,6,3,3
2020-02-21,28,26,94,106,9,4,3,2,-12,-0.010294120000000018,-1,-1,-0.1856618,-1,-8,4,-2,-8,10,1,216,12,10,7
2020-02-09,0,19,114,107,7,11,3,0,7,-0.00038747000000000087,0,-5,-0.02031063999999999,1,-1,1,-5,7,-4,-5,207,11,2,9
2019-11-08,21,14,90,80,9,2,6,0,10,0.04594594999999996,6,6,-0.15130433999999998,5,7,-3,12,8,-10,-4,283,14,15,6
2019-12-20,15,19,129,111,11,13,3,7,18,0.12833406999999997,14,-4,0.20095693999999997,1,-5,12,10,1,9,-3,30,5,0,3
2020-01-19,26,15,101,98,7,6,7,0,3,-0.0012820500000000346,-4,-2,0.045977000000000046,2,-3,4,-6,3,2,-1,200,11,6,4
2020-07-30,13,12,101,101,7,14,2,6,0,-0.05564009999999997,2,6,-0.15158730999999998,-2,0,4,8,9,-4,-4,14,3,2,0
2019-11-24,19,2,94,98,12,7,6,3,-4,0.06472258999999997,6,1,0.16282894999999997,3,-1,3,7,-14,5,12,92,8,7,5
2019-11-18,2,11,86,115,7,13,4,4,-29,-0.07850067999999999,-12,-11,-0.10071301999999999,-1,-3,-8,-23,7,-1,-3,0,1,0,0
2019-12-28,10,2,104,96,13,4,5,4,8,0.02950585,0,7,0.00213677000000001,0,0,-7,7,-7,-1,2,122,9,4,2
2020-03-08,6,11,109,106,12,11,1,2,3,-0.04203735000000003,-4,1,0.041062799999999955,1,2,-4,-3,9,0,-8,184,11,0,6
2019-11-03,15,10,117,87,4,14,2,7,30,0.15452720000000003,6,0,0.19987428999999998,2,7,19,6,-9,-6,-2,272,14,12,13
2019-12-14,14,29,124,109,12,17,3,9,15,0.14642856999999998,13,-4,0.0616216,3,0,10,9,-6,5,2,129,9,4,2
2020-09-05,1,27,86,94,10,9,4,3,-8,0.04338234000000002,5,-3,-0.20180046999999998,-2,2,-5,2,8,1,-1,262,13,7,6
2020-01-22,15,29,115,114,12,17,6,7,1,0.008095199999999969,1,-1,0.23976614000000002,-2,-6,-3,0,6,4,-6,160,10,3,4
2020-02-25,13,18,108,102,13,10,3,3,6,-0.03677549999999996,0,11,-0.018633500000000025,10,-2,-6,11,-9,1,-3,245,13,10,7
2020-08-04,15,1,108,98,10,5,6,0,10,0.016421450000000004,1,-2,0.09047619000000001,1,1,9,-1,11,-4,-8,103,8,4,8
2020-02-05,27,11,105,116,13,15,2,10,-11,-0.06930380000000003,-5,0,-0.18018015999999998,-5,4,-5,-5,7,-5,0,190,11,14,2
2019-10-25,1,27,110,106,21,13,9,6,4,-0.07907510000000001,-7,13,-0.14285716000000004,2,8,-1,6,-3,-11,-4,169,10,2,0
2019-12-27,21,22,89,85,10,7,5,5,4,0.05759493999999998,1,3,0.04761904,2,-5,6,4,-10,-2,2,80,7,5,12
2020-03-02,0,14,75,97,5,13,0,4,-22,-0.19985509,-15,2,-0.09943180000000001,3,-4,-9,-13,-10,3,7,277,14,13,14
